Ensembl,Module
ENSG00000007237,M16_Parikshak2013
ENSG00000007255,M1_Parikshak2013
ENSG00000007264,M17_Parikshak2013
ENSG00000007341,M0_Parikshak2013
ENSG00000007350,M11_Parikshak2013
ENSG00000007372,M8_Parikshak2013
ENSG00000007376,M0_Parikshak2013
ENSG00000007384,M18_Parikshak2013
ENSG00000007392,M6_Parikshak2013
ENSG00000007402,M0_Parikshak2013
ENSG00000007516,M0_Parikshak2013
ENSG00000007520,M0_Parikshak2013
ENSG00000007541,M0_Parikshak2013
ENSG00000007545,M2_Parikshak2013
ENSG00000007866,M8_Parikshak2013
ENSG00000007908,M15_Parikshak2013
ENSG00000007923,M0_Parikshak2013
ENSG00000007933,M13_Parikshak2013
ENSG00000007944,M17_Parikshak2013
ENSG00000007968,M11_Parikshak2013
ENSG00000008018,M0_Parikshak2013
ENSG00000008056,M13_Parikshak2013
ENSG00000008083,M0_Parikshak2013
ENSG00000008086,M0_Parikshak2013
ENSG00000008118,M13_Parikshak2013
ENSG00000008128,M0_Parikshak2013
ENSG00000008130,M0_Parikshak2013
ENSG00000008196,M15_Parikshak2013
ENSG00000008197,M0_Parikshak2013
ENSG00000008226,M0_Parikshak2013
ENSG00000008256,M0_Parikshak2013
ENSG00000008277,M13_Parikshak2013
ENSG00000008282,M1_Parikshak2013
ENSG00000008283,M17_Parikshak2013
ENSG00000008294,M0_Parikshak2013
ENSG00000008300,M5_Parikshak2013
ENSG00000008311,M11_Parikshak2013
ENSG00000008324,M0_Parikshak2013
ENSG00000008382,M0_Parikshak2013
ENSG00000008394,M15_Parikshak2013
ENSG00000008405,M5_Parikshak2013
ENSG00000008438,M0_Parikshak2013
ENSG00000008441,M2_Parikshak2013
ENSG00000008513,M0_Parikshak2013
ENSG00000008516,M0_Parikshak2013
ENSG00000008517,M0_Parikshak2013
ENSG00000008710,M12_Parikshak2013
ENSG00000008735,M0_Parikshak2013
ENSG00000008838,M0_Parikshak2013
ENSG00000008853,M0_Parikshak2013
ENSG00000008869,M0_Parikshak2013
ENSG00000008952,M4_Parikshak2013
ENSG00000008988,M14_Parikshak2013
ENSG00000009307,M5_Parikshak2013
ENSG00000009335,M0_Parikshak2013
ENSG00000009413,M6_Parikshak2013
ENSG00000009694,M17_Parikshak2013
ENSG00000009709,M13_Parikshak2013
ENSG00000009724,M0_Parikshak2013
ENSG00000009780,M0_Parikshak2013
ENSG00000009790,M1_Parikshak2013
ENSG00000009830,M1_Parikshak2013
ENSG00000009844,M0_Parikshak2013
ENSG00000009950,M0_Parikshak2013
ENSG00000009954,M2_Parikshak2013
ENSG00000010017,M0_Parikshak2013
ENSG00000010072,M0_Parikshak2013
ENSG00000010165,M0_Parikshak2013
ENSG00000010219,M1_Parikshak2013
ENSG00000010244,M14_Parikshak2013
ENSG00000010256,M0_Parikshak2013
ENSG00000010270,M0_Parikshak2013
ENSG00000010278,M13_Parikshak2013
ENSG00000010282,M13_Parikshak2013
ENSG00000010292,M11_Parikshak2013
ENSG00000010295,M0_Parikshak2013
ENSG00000010310,M0_Parikshak2013
ENSG00000010318,M0_Parikshak2013
ENSG00000010319,M0_Parikshak2013
ENSG00000010322,M0_Parikshak2013
ENSG00000010327,M18_Parikshak2013
ENSG00000010361,M0_Parikshak2013
ENSG00000010379,M18_Parikshak2013
ENSG00000010404,M13_Parikshak2013
ENSG00000010438,M0_Parikshak2013
ENSG00000010539,M5_Parikshak2013
ENSG00000010610,M18_Parikshak2013
ENSG00000010626,M0_Parikshak2013
ENSG00000010671,M18_Parikshak2013
ENSG00000010704,M18_Parikshak2013
ENSG00000010803,M0_Parikshak2013
ENSG00000010810,M0_Parikshak2013
ENSG00000010818,M0_Parikshak2013
ENSG00000010932,M18_Parikshak2013
ENSG00000011007,M5_Parikshak2013
ENSG00000011009,M14_Parikshak2013
ENSG00000011021,M0_Parikshak2013
ENSG00000011028,M8_Parikshak2013
ENSG00000011052,M9_Parikshak2013
ENSG00000011083,M0_Parikshak2013
ENSG00000011105,M0_Parikshak2013
ENSG00000011114,M3_Parikshak2013
ENSG00000011132,M0_Parikshak2013
ENSG00000011143,M3_Parikshak2013
ENSG00000011198,M0_Parikshak2013
ENSG00000011201,M15_Parikshak2013
ENSG00000011243,M0_Parikshak2013
ENSG00000011258,M0_Parikshak2013
ENSG00000011260,M0_Parikshak2013
ENSG00000011275,M3_Parikshak2013
ENSG00000011295,M0_Parikshak2013
ENSG00000011304,M11_Parikshak2013
ENSG00000011332,M5_Parikshak2013
ENSG00000011347,M0_Parikshak2013
ENSG00000011376,M1_Parikshak2013
ENSG00000011405,M1_Parikshak2013
ENSG00000011422,M0_Parikshak2013
ENSG00000011426,M1_Parikshak2013
ENSG00000011451,M5_Parikshak2013
ENSG00000011454,M0_Parikshak2013
ENSG00000011465,M18_Parikshak2013
ENSG00000011478,M12_Parikshak2013
ENSG00000011485,M0_Parikshak2013
ENSG00000011523,M16_Parikshak2013
ENSG00000011566,M0_Parikshak2013
ENSG00000011600,M18_Parikshak2013
ENSG00000011638,M3_Parikshak2013
ENSG00000011677,M0_Parikshak2013
ENSG00000012048,M11_Parikshak2013
ENSG00000012061,M0_Parikshak2013
ENSG00000012124,M15_Parikshak2013
ENSG00000012171,M0_Parikshak2013
ENSG00000012174,M0_Parikshak2013
ENSG00000012211,M0_Parikshak2013
ENSG00000012223,M0_Parikshak2013
ENSG00000012232,M0_Parikshak2013
ENSG00000012660,M0_Parikshak2013
ENSG00000012779,M0_Parikshak2013
ENSG00000012817,M0_Parikshak2013
ENSG00000012822,M0_Parikshak2013
ENSG00000012963,M4_Parikshak2013
ENSG00000012983,M6_Parikshak2013
ENSG00000013016,M13_Parikshak2013
ENSG00000013275,M0_Parikshak2013
ENSG00000013288,M16_Parikshak2013
ENSG00000013293,M0_Parikshak2013
ENSG00000013297,M0_Parikshak2013
ENSG00000013306,M3_Parikshak2013
ENSG00000013364,M0_Parikshak2013
ENSG00000013374,M0_Parikshak2013
ENSG00000013375,M0_Parikshak2013
ENSG00000013392,M0_Parikshak2013
ENSG00000013441,M0_Parikshak2013
ENSG00000013503,M0_Parikshak2013
ENSG00000013523,M0_Parikshak2013
ENSG00000013561,M4_Parikshak2013
ENSG00000013563,M1_Parikshak2013
ENSG00000013573,M0_Parikshak2013
ENSG00000013583,M0_Parikshak2013
ENSG00000013588,M18_Parikshak2013
ENSG00000013619,M0_Parikshak2013
ENSG00000013725,M0_Parikshak2013
ENSG00000013810,M11_Parikshak2013
ENSG00000014123,M0_Parikshak2013
ENSG00000014138,M11_Parikshak2013
ENSG00000014164,M3_Parikshak2013
ENSG00000014216,M5_Parikshak2013
ENSG00000014641,M13_Parikshak2013
ENSG00000014824,M16_Parikshak2013
ENSG00000014914,M8_Parikshak2013
ENSG00000014919,M3_Parikshak2013
