Ensembl,Module
ENSG00000008226,CD2_Gandal
ENSG00000008256,CD1_Gandal
ENSG00000008277,CD13_Gandal
ENSG00000008282,CD3_Gandal
ENSG00000008283,CD1_Gandal
ENSG00000008294,CD3_Gandal
ENSG00000008300,CD1_Gandal
ENSG00000008311,CD3_Gandal
ENSG00000008323,CD2_Gandal
ENSG00000008324,CD0_Gandal
ENSG00000008405,CD0_Gandal
ENSG00000008438,CD2_Gandal
ENSG00000008441,CD9_Gandal
ENSG00000008513,CD1_Gandal
ENSG00000008516,CD6_Gandal
ENSG00000008517,CD0_Gandal
ENSG00000008710,CD1_Gandal
ENSG00000008735,CD1_Gandal
ENSG00000008838,CD1_Gandal
ENSG00000008853,CD1_Gandal
ENSG00000008952,CD7_Gandal
ENSG00000009307,CD0_Gandal
ENSG00000009413,CD0_Gandal
ENSG00000009694,CD0_Gandal
ENSG00000009709,CD0_Gandal
ENSG00000009724,CD2_Gandal
ENSG00000009780,CD0_Gandal
ENSG00000009790,CD0_Gandal
ENSG00000009830,CD4_Gandal
ENSG00000009950,CD8_Gandal
ENSG00000009954,CD9_Gandal
ENSG00000010017,CD5_Gandal
ENSG00000010165,CD5_Gandal
ENSG00000010219,CD0_Gandal
ENSG00000010244,CD0_Gandal
ENSG00000010256,CD10_Gandal
ENSG00000010278,CD3_Gandal
ENSG00000010292,CD3_Gandal
ENSG00000010295,CD1_Gandal
ENSG00000010310,CD2_Gandal
ENSG00000010318,CD0_Gandal
ENSG00000010319,CD12_Gandal
ENSG00000010322,CD1_Gandal
ENSG00000010327,CD11_Gandal
ENSG00000010361,CD9_Gandal
ENSG00000010379,CD12_Gandal
ENSG00000010404,CD0_Gandal
ENSG00000010438,CD0_Gandal
ENSG00000010539,CD0_Gandal
ENSG00000010610,CD11_Gandal
ENSG00000010626,CD0_Gandal
ENSG00000010704,CD2_Gandal
ENSG00000010803,CD8_Gandal
ENSG00000010810,CD4_Gandal
ENSG00000010818,CD13_Gandal
ENSG00000010932,CD2_Gandal
ENSG00000011007,CD0_Gandal
ENSG00000011009,CD2_Gandal
ENSG00000011021,CD0_Gandal
ENSG00000011028,CD6_Gandal
ENSG00000011083,CD1_Gandal
ENSG00000011105,CD0_Gandal
ENSG00000011114,CD0_Gandal
ENSG00000011132,CD9_Gandal
ENSG00000011198,CD3_Gandal
ENSG00000011201,CD4_Gandal
ENSG00000011243,CD9_Gandal
ENSG00000011260,CD5_Gandal
ENSG00000011275,CD0_Gandal
ENSG00000011295,CD5_Gandal
ENSG00000011304,CD4_Gandal
ENSG00000011332,CD1_Gandal
ENSG00000011376,CD0_Gandal
ENSG00000011405,CD4_Gandal
ENSG00000011422,CD0_Gandal
ENSG00000011454,CD0_Gandal
ENSG00000011465,CD12_Gandal
ENSG00000011478,CD2_Gandal
ENSG00000011485,CD0_Gandal
ENSG00000011523,CD0_Gandal
ENSG00000011566,CD5_Gandal
ENSG00000011590,CD6_Gandal
ENSG00000011600,CD11_Gandal
ENSG00000011638,CD0_Gandal
ENSG00000011677,CD0_Gandal
ENSG00000012048,CD0_Gandal
ENSG00000012061,CD1_Gandal
ENSG00000012124,CD3_Gandal
ENSG00000012171,CD3_Gandal
ENSG00000012174,CD0_Gandal
ENSG00000012211,CD6_Gandal
ENSG00000012223,CD0_Gandal
ENSG00000012232,CD1_Gandal
ENSG00000012504,CD2_Gandal
ENSG00000012660,CD4_Gandal
ENSG00000012779,CD11_Gandal
ENSG00000012817,CD0_Gandal
ENSG00000012822,CD9_Gandal
ENSG00000012983,CD3_Gandal
ENSG00000013016,CD1_Gandal
ENSG00000013275,CD5_Gandal
ENSG00000013288,CD0_Gandal
ENSG00000013364,CD3_Gandal
ENSG00000013375,CD3_Gandal
ENSG00000013392,CD5_Gandal
ENSG00000013441,CD3_Gandal
ENSG00000013503,CD0_Gandal
ENSG00000013523,CD3_Gandal
ENSG00000013561,CD5_Gandal
ENSG00000013563,CD0_Gandal
ENSG00000013573,CD2_Gandal
ENSG00000013583,CD3_Gandal
ENSG00000013588,CD2_Gandal
ENSG00000013619,CD0_Gandal
ENSG00000013725,CD6_Gandal
ENSG00000013810,CD8_Gandal
ENSG00000014123,CD7_Gandal
ENSG00000014138,CD0_Gandal
ENSG00000014164,CD9_Gandal
ENSG00000014216,CD1_Gandal
ENSG00000014257,CD0_Gandal
ENSG00000014641,CD5_Gandal
ENSG00000014824,CD5_Gandal
ENSG00000014919,CD0_Gandal
ENSG00000015153,CD0_Gandal
ENSG00000015285,CD2_Gandal
ENSG00000015413,CD6_Gandal
ENSG00000015475,CD0_Gandal
ENSG00000015479,CD5_Gandal
ENSG00000015520,CD2_Gandal
ENSG00000015532,CD0_Gandal
ENSG00000015592,CD0_Gandal
ENSG00000015676,CD1_Gandal
ENSG00000016402,CD4_Gandal
ENSG00000016490,CD2_Gandal
ENSG00000016864,CD0_Gandal
ENSG00000017260,CD5_Gandal
ENSG00000017427,CD0_Gandal
ENSG00000017621,CD0_Gandal
ENSG00000017797,CD0_Gandal
ENSG00000018189,CD5_Gandal
ENSG00000018236,CD5_Gandal
ENSG00000018280,CD0_Gandal
ENSG00000018408,CD4_Gandal
ENSG00000018510,CD7_Gandal
ENSG00000018610,CD0_Gandal
ENSG00000018625,CD4_Gandal
ENSG00000018699,CD3_Gandal
ENSG00000019144,CD3_Gandal
ENSG00000019169,CD6_Gandal
ENSG00000019186,CD0_Gandal
ENSG00000019485,CD0_Gandal
ENSG00000019505,CD0_Gandal
ENSG00000019549,CD0_Gandal
ENSG00000019582,CD11_Gandal
ENSG00000019991,CD0_Gandal
ENSG00000020129,CD1_Gandal
ENSG00000020181,CD12_Gandal
ENSG00000020256,CD0_Gandal
ENSG00000020426,CD0_Gandal
ENSG00000020577,CD0_Gandal
ENSG00000020633,CD6_Gandal
ENSG00000020922,CD0_Gandal
ENSG00000021300,CD3_Gandal
ENSG00000021355,CD3_Gandal
ENSG00000021461,CD2_Gandal
ENSG00000021488,CD0_Gandal
ENSG00000021574,CD7_Gandal
ENSG00000021645,CD13_Gandal
ENSG00000021776,CD0_Gandal
ENSG00000021826,CD3_Gandal
ENSG00000021852,CD2_Gandal
ENSG00000022267,CD0_Gandal
ENSG00000022277,CD0_Gandal
ENSG00000022355,CD5_Gandal
ENSG00000022556,CD0_Gandal
ENSG00000022840,CD1_Gandal
ENSG00000022976,CD0_Gandal
ENSG00000023041,CD0_Gandal
ENSG00000023191,CD3_Gandal
ENSG00000023228,CD0_Gandal
ENSG00000023287,CD0_Gandal
ENSG00000023318,CD0_Gandal
ENSG00000023330,CD5_Gandal
ENSG00000023445,CD0_Gandal
ENSG00000023516,CD5_Gandal
ENSG00000023572,CD5_Gandal
ENSG00000023608,CD0_Gandal
ENSG00000023697,CD3_Gandal
ENSG00000023734,CD5_Gandal
ENSG00000023839,CD2_Gandal
ENSG00000023902,CD0_Gandal
ENSG00000023909,CD0_Gandal
ENSG00000024048,CD0_Gandal
ENSG00000024422,CD0_Gandal
ENSG00000024862,CD0_Gandal
ENSG00000025039,CD0_Gandal
ENSG00000025156,CD5_Gandal
ENSG00000025293,CD5_Gandal
ENSG00000025423,CD4_Gandal
ENSG00000025434,CD0_Gandal
ENSG00000025708,CD8_Gandal
ENSG00000025770,CD1_Gandal
ENSG00000025772,CD0_Gandal
ENSG00000025796,CD5_Gandal
ENSG00000025800,CD1_Gandal
ENSG00000026025,CD4_Gandal
ENSG00000026103,CD4_Gandal
ENSG00000026297,CD11_Gandal
ENSG00000026508,CD3_Gandal
ENSG00000026559,CD0_Gandal
ENSG00000026652,CD3_Gandal
ENSG00000026751,CD6_Gandal
ENSG00000026950,CD0_Gandal
ENSG00000027001,CD0_Gandal
ENSG00000027075,CD12_Gandal
ENSG00000027644,CD2_Gandal
ENSG00000027847,CD1_Gandal
ENSG00000027869,CD2_Gandal
ENSG00000028116,CD3_Gandal
ENSG00000028137,CD0_Gandal
ENSG00000028203,CD0_Gandal
ENSG00000028277,CD6_Gandal
ENSG00000028310,CD0_Gandal
ENSG00000028528,CD3_Gandal
ENSG00000028839,CD5_Gandal
ENSG00000029153,CD0_Gandal
ENSG00000029363,CD7_Gandal
ENSG00000029364,CD0_Gandal
ENSG00000029534,CD0_Gandal
ENSG00000029559,CD6_Gandal
ENSG00000029639,CD0_Gandal
ENSG00000029725,CD0_Gandal
ENSG00000029993,CD0_Gandal
ENSG00000030066,CD3_Gandal
ENSG00000030304,CD0_Gandal
ENSG00000030419,CD4_Gandal
ENSG00000030582,CD11_Gandal
ENSG00000031003,CD5_Gandal
ENSG00000031544,CD6_Gandal
ENSG00000031691,CD3_Gandal
ENSG00000031698,CD10_Gandal
ENSG00000031823,CD1_Gandal
ENSG00000032219,CD7_Gandal
ENSG00000032389,CD10_Gandal
ENSG00000032444,CD1_Gandal
ENSG00000032742,CD3_Gandal
ENSG00000033030,CD0_Gandal
ENSG00000033050,CD0_Gandal
ENSG00000033170,CD3_Gandal
ENSG00000033178,CD7_Gandal
ENSG00000033327,CD3_Gandal
ENSG00000033800,CD0_Gandal
ENSG00000033867,CD0_Gandal
ENSG00000034053,CD1_Gandal
ENSG00000034152,CD8_Gandal
ENSG00000034239,CD0_Gandal
ENSG00000034510,CD1_Gandal
ENSG00000034533,CD0_Gandal
ENSG00000034677,CD0_Gandal
ENSG00000034693,CD0_Gandal
ENSG00000034713,CD7_Gandal
ENSG00000034971,CD2_Gandal
ENSG00000035115,CD0_Gandal
ENSG00000035141,CD0_Gandal
ENSG00000035403,CD12_Gandal
ENSG00000035664,CD3_Gandal
ENSG00000035681,CD0_Gandal
ENSG00000035687,CD5_Gandal
ENSG00000035720,CD0_Gandal
ENSG00000035862,CD0_Gandal
ENSG00000035928,CD3_Gandal
ENSG00000036257,CD5_Gandal
ENSG00000036448,CD1_Gandal
ENSG00000036473,CD0_Gandal
ENSG00000036530,CD1_Gandal
ENSG00000036549,CD7_Gandal
ENSG00000036565,CD0_Gandal
ENSG00000036672,CD0_Gandal
ENSG00000036828,CD2_Gandal
ENSG00000037042,CD1_Gandal
ENSG00000037280,CD8_Gandal
ENSG00000037637,CD0_Gandal
ENSG00000037749,CD0_Gandal
ENSG00000037897,CD0_Gandal
ENSG00000037965,CD2_Gandal
ENSG00000038002,CD3_Gandal
ENSG00000038274,CD5_Gandal
ENSG00000038295,CD0_Gandal
ENSG00000038358,CD1_Gandal
ENSG00000038382,CD1_Gandal
ENSG00000038427,CD3_Gandal
ENSG00000038532,CD1_Gandal
ENSG00000038945,CD0_Gandal
ENSG00000039068,CD3_Gandal
ENSG00000039123,CD5_Gandal
ENSG00000039319,CD3_Gandal
ENSG00000039523,CD1_Gandal
ENSG00000039537,CD2_Gandal
ENSG00000039560,CD3_Gandal
