Ensembl,Module
ENSG00000011422,M1_DeRosa35
ENSG00000026297,M1_DeRosa35
ENSG00000026559,M1_DeRosa35
ENSG00000049540,M1_DeRosa35
ENSG00000052126,M1_DeRosa35
ENSG00000070193,M1_DeRosa35
ENSG00000079257,M1_DeRosa35
ENSG00000084754,M1_DeRosa35
ENSG00000087884,M1_DeRosa35
ENSG00000089472,M1_DeRosa35
ENSG00000090013,M1_DeRosa35
ENSG00000093183,M1_DeRosa35
ENSG00000100097,M1_DeRosa35
ENSG00000100441,M1_DeRosa35
ENSG00000100461,M1_DeRosa35
ENSG00000102038,M1_DeRosa35
ENSG00000102359,M1_DeRosa35
ENSG00000103811,M1_DeRosa35
ENSG00000103852,M1_DeRosa35
ENSG00000105639,M1_DeRosa35
ENSG00000105700,M1_DeRosa35
ENSG00000105982,M1_DeRosa35
ENSG00000106244,M1_DeRosa35
ENSG00000107821,M1_DeRosa35
ENSG00000111077,M1_DeRosa35
ENSG00000111817,M1_DeRosa35
ENSG00000113319,M1_DeRosa35
ENSG00000113389,M1_DeRosa35
ENSG00000115414,M1_DeRosa35
ENSG00000116132,M1_DeRosa35
ENSG00000116670,M1_DeRosa35
ENSG00000118960,M1_DeRosa35
ENSG00000120333,M1_DeRosa35
ENSG00000122986,M1_DeRosa35
ENSG00000126945,M1_DeRosa35
ENSG00000127990,M1_DeRosa35
ENSG00000130203,M1_DeRosa35
ENSG00000131475,M1_DeRosa35
ENSG00000132581,M1_DeRosa35
ENSG00000133110,M1_DeRosa35
ENSG00000133519,M1_DeRosa35
ENSG00000135931,M1_DeRosa35
ENSG00000136068,M1_DeRosa35
ENSG00000136940,M1_DeRosa35
ENSG00000137106,M1_DeRosa35
ENSG00000137868,M1_DeRosa35
ENSG00000138722,M1_DeRosa35
ENSG00000139835,M1_DeRosa35
ENSG00000140553,M1_DeRosa35
ENSG00000141338,M1_DeRosa35
ENSG00000141499,M1_DeRosa35
ENSG00000143486,M1_DeRosa35
ENSG00000143553,M1_DeRosa35
ENSG00000143867,M1_DeRosa35
ENSG00000144455,M1_DeRosa35
ENSG00000149929,M1_DeRosa35
ENSG00000150281,M1_DeRosa35
ENSG00000150403,M1_DeRosa35
ENSG00000153246,M1_DeRosa35
ENSG00000154240,M1_DeRosa35
ENSG00000157227,M1_DeRosa35
ENSG00000157502,M1_DeRosa35
ENSG00000158352,M1_DeRosa35
