"Ensembl","Gene","logFC","rawFC","FoldChange","AveExpr","t","P.Value","adj.P.Val","z.std"
"ENSG00000213047","DENND1B",8.88260569509358,471.987779131509,"471.987779131509",-1.39083693347176,357.388575695286,7.30531120590756e-81,1.19573333818295e-76,19.0444472506227
"ENSG00000229180","",8.31300538378668,318.026986933896,"318.026986933896",-1.61653494078859,321.033250690931,1.01383192058856e-78,8.29720043809674e-75,18.7843695348664
"ENSG00000066827","ZFAT",8.0792258145374,270.451448570939,"270.451448570939",-1.70852827386825,260.980276861585,1.38380273035657e-74,7.55002769682543e-71,18.2719637284897
"ENSG00000175048","ZDHHC14",9.52335505030907,735.894453292761,"735.894453292761",-1.13715658302913,252.19188980563,6.68233729635379e-74,2.73441242166797e-70,18.1858402766479
"ENSG00000166359","WDR88",6.24953638351677,76.0848012410837,"76.0848012410837",-2.43303429816724,231.39280921456,3.49251610245557e-72,1.14331007129986e-68,17.9676412791702
"ENSG00000135537","AFG1L",8.26125387896076,306.821097704187,"306.821097704187",-1.63669763042379,230.239435016353,4.39421080424984e-72,1.19874070739936e-68,17.9548938413945
"ENSG00000189144","ZNF573",7.67072655207122,203.759929039223,"203.759929039223",-1.87049403988384,221.735876019225,2.4775948855766e-71,5.79332472673112e-68,17.858603824757
"ENSG00000169239","CA5B",8.33507460936443,322.929316605967,"322.929316605967",-1.60752095069032,220.53744837334,3.1783170121978e-71,6.50283660695669e-68,17.8446953493012
"ENSG00000177839","PCDHB9",7.70928222456656,209.278779865659,"209.278779865659",-1.85533188860986,217.569176013481,5.92450867285224e-71,1.07747064396939e-67,17.8098720589612
"ENSG00000178607","ERN1",8.84216121545834,458.939832023225,"458.939832023225",-1.40660111609948,216.042038855637,8.18910079724112e-71,1.34039201849243e-67,17.7917439895268
"ENSG00000188312","CENPP",-8.36852664378185,0.00302567628082123,"-330.504623491506",0.174871003837821,-214.096332857193,1.24106967995668e-70,1.84671168377553e-67,-17.7684341061572
"ENSG00000155158","TTC39B",9.21370453613671,593.747011299619,"593.747011299619",-1.25978812789735,211.96508939942,1.96545420864616e-70,2.68087954059337e-67,17.7426221421918
"ENSG00000263069","RNF213-AS1",7.04656653770157,132.198916072624,"132.198916072624",-2.11747205276838,207.804776925268,4.88724067754063e-70,6.15341195461423e-67,17.6913702357866
"ENSG00000182463","TSHZ2",11.6076173321234,3120.620773195,"3120.620773195",-0.312100794908932,204.935801327361,9.25772220169089e-70,1.08235997855198e-66,17.6553383518283
"ENSG00000213337","ANKRD39",7.61337434145003,195.818646770512,"195.818646770512",-1.89323497087968,203.670231079163,1.23061878715006e-69,1.34285122053814e-66,17.6392600362186
"ENSG00000268895","A1BG-AS1",6.56627077813197,94.7642356169434,"94.7642356169434",-2.30766798966746,200.259401416692,2.67389841409243e-69,2.60058843193156e-66,17.5953518562515
"ENSG00000185634","SHC4",7.97514809332388,251.627901624257,"251.627901624257",-1.74987108334005,200.215450533668,2.70100215926421e-69,2.60058843193156e-66,17.5947804960675
"ENSG00000163840","DTX3L",8.62335958056245,394.357311465627,"394.357311465627",-1.49326858267712,197.981694447112,4.52280559562705e-69,4.1127378882902e-66,17.5655511023267
"ENSG00000163947","ARHGEF3",10.183298229584,1162.72824344529,"1162.72824344529",-0.876040031470578,196.376849385281,6.5738261427962e-69,5.66317822659411e-66,17.5443170909295
"ENSG00000253552","HOXA-AS2",10.4976068011236,1445.75442369445,"1445.75442369445",-0.751718971767518,195.023305357531,9.03294916823846e-69,7.39256559928635e-66,17.5262529808964
"ENSG00000266904","LINC00663",7.13706744710131,140.75744747723,"140.75744747723",-2.08170943892393,193.187114938065,1.39504521611871e-68,1.08733809987767e-65,17.5015166250479
"ENSG00000112293","GPLD1",8.0369191488197,262.635686225763,"262.635686225763",-1.72556076395717,192.190763955763,1.76914216319673e-68,1.31624176941837e-65,17.4879811786185
