"","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue"
"1",1,"0.716630817808785","1.22630566631395e-05","0.272362792657191","0.152892485201266",1,"0.849760820576533","5.4951331724939e-09","-0.573698680854552","0.00113899398217282",1,"0.848614159781953","6.0458016444282e-09","-0.597503248955794","0.000620556695066368",1,"0.843249933563465","9.35564392666963e-09","-0.585879086115683","0.000839649608696389",1,"0.845909384576609","7.55018849411164e-09","-0.590352767797034","0.000748419924774181",1,"0.843162541676205","9.4211614255768e-09","-0.57743629253194","0.00103856369453574",1,"0.837650635054448","1.45091869559976e-08","-0.566083417785143","0.00137008192382562",1,"0.840892532696959","1.12769941433567e-08","-0.583101762305282","0.00090104973791671",1,"0.853912440209424","3.86279069541876e-09","-0.588399816856938","0.000787119576235088",1,"0.716630817808785","1.22630566631395e-05","0.272362792657191","0.152892485201266"
"2",2,"0.764641790600535","1.37055827100257e-06","-0.392727273853867","0.0350844114617492",2,"0.534195780557464","0.0028363809163389","0.184076727775527","0.339131995545666",2,"0.341449388936101","0.0698624224352754","-0.115396234248774","0.551115275753926",2,"0.126960245896285","0.511636556051428","-0.248338322004095","0.193951608664304",2,"-0.353398312346464","0.0600272573978743","-0.0168193930964248","0.930991875415969",2,"-0.416138207373178","0.0247460296000607","-0.0669657692585462","0.729984071003934",2,"0.617698307196018","0.000356736027693026","-0.209493540818265","0.275408536930154",2,"0.617244625354845","0.000361350380458228","-0.311225894926449","0.100303130602466",2,"0.726961886662909","7.95312248014595e-06","-0.313324045800564","0.0979129123457449",2,"0.764641790600535","1.37055827100257e-06","-0.392727273853867","0.0350844114617492"
"3",3,"-0.511014374583311","0.00461303929130074","0.185342020967018","0.33576419728742",3,"0.388295721997628","0.0373855439302821","-0.319248971557195","0.091394839029413",3,"0.0860088677176603","0.657315967067046","-0.460169243196117","0.0120121222198838",3,"-0.173974611893965","0.366748141686482","-0.484768514174975","0.00769520275240945",3,"-0.302061248891548","0.111260252950431","0.496748390484716","0.00612219439855254",3,"-0.321032301743972","0.0894988884105486","-0.525440378924794","0.0034219572391063",3,"-0.307114510820226","0.10511364407598","-0.552412548273562","0.00188820138755594",3,"-0.327432486075687","0.0829397159284965","0.587956200628014","0.000796150235693377",3,"-0.5141652922173","0.00432643709229037","0.494337788450561","0.00641463476092721",3,"-0.511014374583311","0.00461303929130074","0.185342020967018","0.33576419728742"
"4",4,"-0.509312430640351","0.00477447480076159","0.304708110652231","0.108008197513428",4,"0.116063520488228","0.548799407630867","-0.170853414129633","0.375540354156114",4,"0.0426854691467293","0.825982559396827","-0.205682905625317","0.284434044096604",4,"-0.16183460204535","0.401626331471507","-0.229073616761456","0.231965426725129",4,"-0.261247969650037","0.171033628542201","-0.26279317168291","0.168424645110112",4,"-0.432061412369694","0.0192532410203438","-0.427916354877518","0.020575669581658",4,"-0.432000141908151","0.0192722656937749","-0.478223784398666","0.00869014897093704",4,"-0.298380282799204","0.115903255293011","-0.579760162865117","0.000980091155599219",4,"-0.356286445457813","0.0578209736530961","0.616588144067026","0.000368120437716032",4,"-0.509312430640351","0.00477447480076159","0.304708110652231","0.108008197513428"
"5",5,"-0.417396265831922","0.0242700799816031","0.542432114640134","0.00236638466901343",5,"-0.195377089592938","0.309777862159945","-0.100964626656919","0.602276437028318",5,"-0.218726202494792","0.254313485948331","-0.10134065143343","0.600918166041561",5,"-0.187036503364562","0.331285971402572","-0.104147386910355","0.590821248867882",5,"-0.046512978100499","0.810646894763981","-0.179585537820613","0.351250268389439",5,"-0.138678730991172","0.473105249794603","-0.193767150370148","0.3138601055785",5,"-0.423245979115964","0.0221542271825661","-0.482998677702786","0.00795425634766666",5,"-0.351092424794183","0.0618355608480229","-0.471185459736877","0.00987890647041611",5,"-0.458040181581702","0.0124658537204155","-0.548696350619538","0.00205543842645151",5,"-0.417396265831922","0.0242700799816031","0.542432114640134","0.00236638466901343"
