,msg,mnsg,nmsg,nmnsg,module_genes,total_genes,pvalue,oddsratio,FDR,-LOG(pvalue)
Neuron Sfari_only M1,36,470,443,11265,506,12214,0.000585546,1.947613652,0.016102524,1.793106034
Neuron Sfari_only M2,32,387,447,11348,419,12214,0.000285163,2.098891527,0.009410375,2.026393086
Neuron Sfari_only M3,19,314,460,11421,333,12214,0.112462236,1.502268132,0.473825443,0.324381622
Neuron Sfari_only M4,9,271,470,11464,280,12214,0.641338084,0.810057897,0.962007126,0.016821711
Neuron Sfari_only M5,10,217,469,11518,227,12214,0.607101585,1.131721428,0.936184687,0.028638467
Neuron Sfari_only M6,12,272,467,11463,284,12214,0.756184174,1.0828816,0.982444005,0.007692193
Neuron Sfari_only M7,6,160,473,11575,166,12214,1,0.917685251,1,0
Neuron Sfari_only M8,9,252,470,11483,261,12214,0.871444264,0.872575491,1,0
Neuron Sfari_only M9,4,217,475,11518,221,12214,0.114866774,0.446996389,0.473825443,0.324381622
Neuron Sfari_only M10,4,113,475,11622,117,12214,1,0.866109786,1,0
Neuron Sfari_only M11,2,158,477,11577,160,12214,0.096900867,0.307238838,0.440909421,0.355650621
Neuron Sfari_only M12,6,178,473,11557,184,12214,0.84748556,0.823607208,1,0
Neuron Sfari_only M13,12,175,467,11560,187,12214,0.084955638,1.697300042,0.400505152,0.397391893
Neuron Sfari_only M14,20,216,459,11519,236,12214,0.001076451,2.323323383,0.02537348,1.595619969
Neuron Sfari_only M15,3,157,476,11578,160,12214,0.220094319,0.46480176,0.616327423,0.210188508
Neuron Sfari_only M16,1,132,478,11603,133,12214,0.067111054,0.183907192,0.361211097,0.442238916
Neuron Sfari_only M17,4,137,475,11598,141,12214,0.663450174,0.712912904,0.982444005,0.007692193
Neuron Sfari_only M18,3,172,476,11563,175,12214,0.166763294,0.423718585,0.561512707,0.250640411
Neuron Sfari_only M19,1,60,478,11675,61,12214,0.733845138,0.407098393,0.982444005,0.007692193
Neuron Sfari_only M20,9,133,470,11602,142,12214,0.128690978,1.67032318,0.474626044,0.323648435
