Ensembl	Gene.x	F2613.cl1_npcFile_P_NPC	F2613.cl2_npcFile_P_NPC	F2613.cl3_npcFile_P_NPC	F2688.cl4_npcFile_P_NPC	F2688.cl5_npcFile_P_NPC	F2688.cl6_npcFile_P_NPC	F2735.cl1_npcFile_P_NPC	F2735.cl2_npcFile_P_NPC	F2735.cl3_npcFile_P_NPC	F6136.cl1_npcFile_P_NPC	F7511.cl1_npcFile_P_NPC	F7511.cl2_npcFile_P_NPC	F7511.cl3_npcFile_P_NPC	F6281.cl1_npcFile_P_NPC	F6281.cl2_npcFile_P_NPC	F6281.cl4_npcFile_P_NPC	F5541.cl1_npcFile_C_NPC	F5541.cl2_npcFile_C_NPC	F5541.cl5_npcFile_C_NPC	F5618.cl3_npcFile_C_NPC	F5618.cl6_npcFile_C_NPC	F6119.cl1_npcFile_C_NPC	F6119.cl7_npcFile_C_NPC	F7315.cl4_npcFile_C_NPC	F7315.cl5_npcFile_C_NPC	F7647.cl1_npcFile_C_NPC	F7647.cl2_npcFile_C_NPC	F7647.cl3_npcFile_C_NPC	F7672.cl4_npcFile_C_NPC	F2613.cl1_NeurFile_P_Neur	F2613.GFP.cl1_NeurFile_P_Neur	F2735.cl2_NeurFile_P_Neur	F2735.cl3_NeurFile_P_Neur	F2735.GFP.cl2_NeurFile_P_Neur	F6281.cl1_NeurFile_P_Neur	F6281.cl4_NeurFile_P_Neur	F6281.GFP.cl1_NeurFile_P_Neur	F7511.cl2_NeurFile_P_Neur	F5541.cl2_NeurFile_C_Neur	F5541.GFP.cl2_NeurFile_C_Neur	F5618.cl3_NeurFile_C_Neur	F5618.GFP.cl6_NeurFile_C_Neur	F7647.cl1_NeurFile_C_Neur	F7647.cl3_NeurFile_C_Neur	F7672.cl5_NeurFile_C_Neur	F7672.cl6_NeurFile_C_Neur	F7672.GFP.cl5_NeurFile_C_Neur	F7672.GFP.cl6_NeurFile_C_Neur
ENSG00000101017	CD40	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000079215	SLC1A3	8.538853956	8.635885888	9.537690585	9.962488688	10.28000059	9.162059492	10.30486851	10.35668121	9.639914437	9.371975125	9.428720664	9.359540717	10.3632509	8.797522351	10.26802884	9.831616227	9.166691036	9.55454075	9.2651517	9.477019454	9.871442434	8.648828769	8.246507973	9.346163144	9.465086697	8.995354773	8.366356144	9.914115847	10.34809861	11.86216711	11.07935061	12.48919792	13.51215902	11.93010968	12.15187623	11.83187964	11.3477439	12.55699397	11.16007208	11.8834976	11.89524953	12.60583311	11.48862485	12.00382505	11.86656311	11.93116159	12.08330015	11.94815899
ENSG00000068078	FGFR3	9.920536833	9.718735251	10.13876284	10.90991248	9.476370788	11.10238348	9.02140778	8.943123909	9.638198945	9.695853223	10.08250603	9.730975005	8.761427404	11.03061059	9.571239955	9.326334116	9.77055966	8.550300254	8.827876766	10.46241461	10.13413661	10.31590412	9.673605474	9.439743815	9.483945108	9.255104417	10.55704294	10.18450063	9.834643101	9.992285648	9.120164898	10.31777893	12.00338274	10.8058356	9.786796841	10.5505367	9.227795621	11.32563825	8.87799156	9.904340973	9.844927186	11.13665458	9.059361786	9.441621129	9.592231251	10.30179173	9.748686719	9.680773723
ENSG00000121742	GJB6	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000171885	AQP4	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	5.03461842	8.333666752	7.512227216	8.385166812	8.073537964	8.682111651	7.708464442	8.946791388	8.191789538	8.94995257	7.41935432	8.087062257	7.627356875	8.006625164	7.918052671	8.235240152	8.018649454	8.325877848	8.041538195	8.458421731
ENSG00000166033	HTRA1	6.958364172	8.143353406	7.596863437	7.331669441	7.543345122	7.831465011	7.406790845	7.464926055	7.252137215	7.878859448	7.366494195	7.678130124	9.270642796	8.073866714	7.703060005	8.079030087	7.440393187	7.442629696	7.791034077	7.878259959	8.39978904	7.661109465	7.527556503	7.886753713	8.063960525	7.655559154	7.763061625	7.529689225	7.546917465	9.70535229	9.968399261	9.259555704	9.180297246	9.896272451	9.091417425	9.668003846	9.521409593	8.957560895	8.914602556	9.136601126	8.648397033	9.752525404	8.917577365	10.15671933	8.847227094	9.101710328	7.988386864	9.641555368
ENSG00000143546	S100A8	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000134873	CLDN10	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000162267	ITIH3	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03	5.03
ENSG00000101198	NKAIN4	7.950428397	8.12460719	7.973600789	7.820058883	7.942554331	8.182635382	7.878493629	7.842478573	7.758184165	7.622083119	8.761206783	7.870103499	7.895184242	8.421372985	8.24780119	7.923795095	8.032612304	8.233524756	9.178026129	7.778530766	7.57371601	8.389917862	8.584749239	8.422246678	7.93081389	7.955191824	8.577734331	8.632666846	7.257580881	8.895657031	8.555792845	8.41895222	8.308386871	8.07187348	8.917272504	8.569851472	8.719889192	7.901547378	8.451357427	8.535510326	8.466782093	8.0845373	8.435607832	8.182688294	8.39922304	8.960544223	8.520510994	8.208070772
