"Ensembl" "Gene" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "z.std"
"1" "ENSG00000158445" "KCNB1" 0.75475550004813 5.28999019822714 8.6098339513506 1.3236814131413e-07 0.00141230771576507 5.27553666573552
"2" "ENSG00000215933" NA -2.63930904591919 -2.97090521782943 -8.39574367379912 1.87981860210977e-07 0.00141230771576507 -5.21084559070576
"3" "ENSG00000108559" "NUP88" -0.254904476351922 5.20601281266944 -7.23890001292324 1.38472568267224e-06 0.00693562936927771 -4.82719061880917
"4" "ENSG00000075223" "SEMA3C" -1.30639917451836 7.25029227879132 -6.07200864101749 1.24469922077907e-05 0.0338276511914713 -4.36960773291881
"5" "ENSG00000196110" "ZNF699" 0.304920605528699 3.4604508464962 6.03837127786498 1.32966858039396e-05 0.0338276511914713 4.35516477700325
"6" "ENSG00000124140" "SLC12A5" 0.755936498202363 6.10313130330424 6.03036432961752 1.35076472214047e-05 0.0338276511914713 4.35171548962251
"7" "ENSG00000182512" "GLRX5" -0.152407058496286 5.11239681489837 -5.92944737412796 1.64838421217289e-05 0.0353837445315856 -4.30786435145611
"8" "ENSG00000067606" "PRKCZ" 0.35193207143748 4.63441072856184 5.65310280413668 2.86301579525077e-05 0.0428431782315945 4.18409721612714
"9" "ENSG00000143156" "NME7" -0.302246241255721 4.01171707667111 -5.64302297902536 2.92179580359864e-05 0.0428431782315945 -4.1794775342023
"10" "ENSG00000168256" "NKIRAS2" -0.112208314869006 6.5252861811955 -5.54910794142653 3.53306004755131e-05 0.0428431782315945 -4.1360689940321
"11" "ENSG00000215397" "SCRT2" -0.516990644587883 6.23029041142722 -5.52928708631815 3.6781052211423e-05 0.0428431782315945 -4.12682221508455
"12" "ENSG00000164398" "ACSL6" 0.770554957315819 4.92013674958327 5.52091589745882 3.74119331416172e-05 0.0428431782315945 4.12290788750002
"13" "ENSG00000154118" "JPH3" 0.473196059816924 6.07333440197896 5.47767890970046 4.08524834655829e-05 0.0428431782315945 4.102604730107
"14" "ENSG00000174460" "ZCCHC12" 0.353907254666141 5.97342297458148 5.46124904851031 4.22438602549804e-05 0.0428431782315945 4.09485175343386
"15" "ENSG00000167619" "TMEM145" 0.374477733727325 5.84388765976322 5.45176758741309 4.3068914592809e-05 0.0428431782315945 4.09036807048164
"16" "ENSG00000021826" "CPS1" 0.667707680075764 3.23765635897371 5.40722728600251 4.71725119613067e-05 0.0428431782315945 4.06921149701483
"17" "ENSG00000204128" "C2orf72" 0.913011046636717 4.72705332980687 5.39395473800659 4.84715845825308e-05 0.0428431782315945 4.06287694841507
