"","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue","pcavalues","pca1cor","pca1pvalue","pca2cor","pca2pvalue"
"1",1,"-0.31334119237588","0.0978935573374547","0.366518702582245","0.0505116290586147",1,"-0.281085076285122","0.139655798033255","0.360154579069152","0.0549661908251457",1,"-0.259881338348592","0.173364778663759","0.347369699392795","0.0648443559843098",1,"-0.216336014315196","0.259669891266829","0.323005497404093","0.0874360477923525",1,"-0.172850500889919","0.369900639785606","0.297912412054458","0.116503537392892",1,"-0.13685007515862","0.479016935911101","0.269713962564129","0.157084763883923",1,"-0.104127826276238","0.590891360632542","0.199601392656098","0.299224589205391",1,"-0.0742465974882282","0.701888998722362","-0.163319129963905","0.397263459310415",1,"0.0799778650530209","0.680038442039998","0.139194506442352","0.47144472381156"
"2",2,"0.115941947838179","0.549220997095769","-0.0054327405697627","0.97768652675782",2,"0.122292195509511","0.527403680817477","-0.0048795789489447","0.979958008182141",2,"0.127066717495733","0.511279658562303","-0.00621585877387631","0.97447105646804",2,"0.125224371656589","0.517472531104403","-0.0148234681107404","0.939164940812429",2,"0.133810227104746","0.488927700222186","-0.0142924917022765","0.941340275407372",2,"0.13061877367774","0.499443713517312","-0.0159207527692671","0.934670895748211",2,"0.118557416942017","0.540184489705973","-0.0029845241966325","0.987740843135574",2,"0.136264796064915","0.480917029780925","0.0451741025410103","0.816003874100012",2,"0.213798248936804","0.265437068391894","-0.00814769414213119","0.966540748823303"
"3",3,"0.0979467553955752","0.613224425742924","0.101059156772463","0.601934854019192",3,"0.106128720868665","0.58373828321581","0.107596690905272","0.578514708375967",3,"0.111221265244835","0.565706772367249","0.10873115951672","0.57449210958337",3,"0.11152190927347","0.564650203696671","0.120927766827985","0.532055979800498",3,"0.130358901075426","0.500304965223183","0.118180355466748","0.541482904765278",3,"0.13610486149094","0.481436925968851","0.122460967166462","0.526829582701704",3,"0.130959140127413","0.498316819035569","0.106849463045265","0.581171029305042",3,"0.0503714827777904","0.795256134331203","-0.0016651445700054","0.993160119025396",3,"-0.0523922975110139","0.787225031804893","-0.0329409216007501","0.865297172569551"
"4",4,"0.0886488620857294","0.647461289739007","0.0786866019709731","0.684940086095802",4,"0.0939493251944793","0.627851879138344","0.045181402926488","0.81597464227107",4,"0.0930468293359933","0.631173736300801","-0.0272447207972323","0.888431357381807",4,"0.100876190573679","0.60259607391399","0.0840608361118281","0.664623977754291",4,"0.090804894068895","0.639456086392143","0.103373542113753","0.593597712100772",4,"0.0925056784436985","0.633168955508849","0.10357050949826","0.592890482246904",4,"0.0724520978891859","0.708779611663884","0.114322134457186","0.554852513052996",4,"0.0999975484670114","0.605775678439376","0.0711786325795844","0.713683239525457",4,"0.0770674596311015","0.691104067744788","0.0883488839061718","0.648578168851356"
"5",5,"0.00588516936761262","0.975828816775561","0.0814877488043594","0.674323057554806",5,"0.00768762016205911","0.968429126517099","0.0789924583171761","0.683777912848723",5,"0.0110900139162425","0.954468580543392","0.0622310008880299","0.748442304326541",5,"5.23114757245632e-05","0.999785118719643","0.0502848604263587","0.795600852121224",5,"0.0182040960822676","0.925325669382731","0.0145006077717919","0.940487603522252",5,"0.0121533989057934","0.95010785892792","-0.00365604520371369","0.984982799279047",5,"0.0196967918383771","0.919221564041144","0.0802496105260845","0.67900850852271",5,"0.0738615265369746","0.703365689200669","0.102868287658667","0.595413538691215",5,"-0.0468132814011829","0.809446488851166","0.130640075484191","0.499373149497944"
