"InputCategories","UserDefinedCategories","Type","CorrectedPvalues","NumGenes","CategoryGenes"
"M19","mod4_Gupta__DATA/modules_allStudies.csv","User",2.33722128454152e-27,42,"ENSG00000005075, ENSG00000101182, ENSG00000106803, ENSG00000109475, ENSG00000110700, ENSG00000112306, ENSG00000114391, ENSG00000118181, ENSG00000122406, ENSG00000130255, ENSG00000137970, ENSG00000139343, ENSG00000142507, ENSG00000143947, ENSG00000144381, ENSG00000145494, ENSG00000148303, ENSG00000149273, ENSG00000156482, ENSG00000161016, ENSG00000164587, ENSG00000165502, ENSG00000171858, ENSG00000177954, ENSG00000180992, ENSG00000182899, ENSG00000184857, ENSG00000197982, ENSG00000198242, ENSG00000198618, ENSG00000198918, ENSG00000213442, ENSG00000213741, ENSG00000231500, ENSG00000232573, ENSG00000234741, ENSG00000234797, ENSG00000235174, ENSG00000235552, ENSG00000236552, ENSG00000242071, ENSG00000244398"
"M19","21_Parikshak2016__DATA/modules_allStudies.csv","User",2.68718639002298e-27,24,"ENSG00000106803, ENSG00000109475, ENSG00000110700, ENSG00000112306, ENSG00000114391, ENSG00000118181, ENSG00000130255, ENSG00000143947, ENSG00000156482, ENSG00000161016, ENSG00000163682, ENSG00000164587, ENSG00000171858, ENSG00000175061, ENSG00000177954, ENSG00000196205, ENSG00000198918, ENSG00000212802, ENSG00000213741, ENSG00000220842, ENSG00000229117, ENSG00000231500, ENSG00000234797, ENSG00000236552"
"M19","M14_Parikshak2013__DATA/modules_allStudies.csv","User",2.82756308141311e-27,37,"ENSG00000106803, ENSG00000109475, ENSG00000110700, ENSG00000112306, ENSG00000114391, ENSG00000118181, ENSG00000122406, ENSG00000130255, ENSG00000136930, ENSG00000137970, ENSG00000143947, ENSG00000148303, ENSG00000149273, ENSG00000156482, ENSG00000161016, ENSG00000163319, ENSG00000164587, ENSG00000171858, ENSG00000175061, ENSG00000177954, ENSG00000182899, ENSG00000184840, ENSG00000197265, ENSG00000198242, ENSG00000198918, ENSG00000212802, ENSG00000213442, ENSG00000213741, ENSG00000231500, ENSG00000232573, ENSG00000234741, ENSG00000234797, ENSG00000235174, ENSG00000235552, ENSG00000236552, ENSG00000242071, ENSG00000244398"
"M4","royalblue_Mariani__DATA/modules_allStudies.csv","User",1.88869061272935e-24,29,"ENSG00000077943, ENSG00000088756, ENSG00000091986, ENSG00000106333, ENSG00000111817, ENSG00000112655, ENSG00000113721, ENSG00000116132, ENSG00000119777, ENSG00000120332, ENSG00000120820, ENSG00000122707, ENSG00000133110, ENSG00000134853, ENSG00000135916, ENSG00000140937, ENSG00000141756, ENSG00000144824, ENSG00000150961, ENSG00000162733, ENSG00000163430, ENSG00000165124, ENSG00000166025, ENSG00000166147, ENSG00000169071, ENSG00000173068, ENSG00000185624, ENSG00000197321, ENSG00000204262"
"M1","CD1_Gandal__DATA/modules_allStudies.csv","User",2.6671573163721e-22,118,"ENSG00000006071, ENSG00000008056, ENSG00000008735, ENSG00000049759, ENSG00000054356, ENSG00000058404, ENSG00000059915, ENSG00000067606, ENSG00000067842, ENSG00000068831, ENSG00000069424, ENSG00000072062, ENSG00000073670, ENSG00000074317, ENSG00000075340, ENSG00000076864, ENSG00000084764, ENSG00000088808, ENSG00000089057, ENSG00000089220, ENSG00000095203, ENSG00000099814, ENSG00000099822, ENSG00000100321, ENSG00000101210, ENSG00000102003, ENSG00000103034, ENSG00000103056, ENSG00000103154, ENSG00000103723, ENSG00000104833, ENSG00000104863, ENSG00000105409, ENSG00000105520, ENSG00000105613, ENSG00000105642, ENSG00000105649, ENSG00000106089, ENSG00000106123, ENSG00000106327, ENSG00000106976, ENSG00000107130, ENSG00000110076, ENSG00000110171, ENSG00000112759, ENSG00000116254, ENSG00000116396, ENSG00000116661, ENSG00000116852, ENSG00000116983, ENSG00000119227, ENSG00000123360, ENSG00000123643, ENSG00000124140, ENSG00000124507, ENSG00000125510, ENSG00000126217, ENSG00000127561, ENSG00000128268, ENSG00000129159, ENSG00000129355, ENSG00000129990, ENSG00000130477, ENSG00000130643, ENSG00000130813, ENSG00000134775, ENSG00000135127, ENSG00000135447, ENSG00000135454, ENSG00000135622, ENSG00000135631, ENSG00000135709, ENSG00000138028, ENSG00000139182, ENSG00000144711, ENSG00000148408, ENSG00000149927, ENSG00000153823, ENSG00000154118, ENSG00000154917, ENSG00000155093, ENSG00000157087, ENSG00000157152, ENSG00000157782, ENSG00000158089, ENSG00000158445, ENSG00000158555, ENSG00000158828, ENSG00000158856, ENSG00000159128, ENSG00000160209, ENSG00000160460, ENSG00000161381, ENSG00000162545, ENSG00000162706, ENSG00000164715, ENSG00000166257, ENSG00000166862, ENSG00000167964, ENSG00000171450, ENSG00000171608, ENSG00000172350, ENSG00000172889, ENSG00000173267, ENSG00000174938, ENSG00000175115, ENSG00000184156, ENSG00000184916, ENSG00000184922, ENSG00000186642, ENSG00000197444, ENSG00000198216, ENSG00000198794, ENSG00000198910, ENSG00000204681, ENSG00000212864, ENSG00000237289, ENSG00000242173"
"M1","M17_Parikshak2013__DATA/modules_allStudies.csv","User",1.78888334795455e-20,87,"ENSG00000006047, ENSG00000040731, ENSG00000058404, ENSG00000059915, ENSG00000067057, ENSG00000071073, ENSG00000072062, ENSG00000073150, ENSG00000073670, ENSG00000073803, ENSG00000073910, ENSG00000088808, ENSG00000089177, ENSG00000089847, ENSG00000099814, ENSG00000101098, ENSG00000101180, ENSG00000104833, ENSG00000106089, ENSG00000106123, ENSG00000106327, ENSG00000107679, ENSG00000108960, ENSG00000109436, ENSG00000110400, ENSG00000112759, ENSG00000116254, ENSG00000116396, ENSG00000116544, ENSG00000119227, ENSG00000121900, ENSG00000127252, ENSG00000127561, ENSG00000129990, ENSG00000130477, ENSG00000130643, ENSG00000130813, ENSG00000130822, ENSG00000131242, ENSG00000131398, ENSG00000132359, ENSG00000132879, ENSG00000135439, ENSG00000135709, ENSG00000135740, ENSG00000138028, ENSG00000140600, ENSG00000145335, ENSG00000145362, ENSG00000145911, ENSG00000149927, ENSG00000152969, ENSG00000153291, ENSG00000153823, ENSG00000157087, ENSG00000158458, ENSG00000158806, ENSG00000158828, ENSG00000159753, ENSG00000161243, ENSG00000162434, ENSG00000163888, ENSG00000166405, ENSG00000167103, ENSG00000167971, ENSG00000171798, ENSG00000171817, ENSG00000172350, ENSG00000178773, ENSG00000181790, ENSG00000181982, ENSG00000183060, ENSG00000183317, ENSG00000184515, ENSG00000185052, ENSG00000186594, ENSG00000186642, ENSG00000187135, ENSG00000197927, ENSG00000203772, ENSG00000204128, ENSG00000221946, ENSG00000221968, ENSG00000227719, ENSG00000232434, ENSG00000237289, ENSG00000239467"
"M4","CD12_Gandal__DATA/modules_allStudies.csv","User",3.52556332408403e-19,23,"ENSG00000011465, ENSG00000020181, ENSG00000077943, ENSG00000106809, ENSG00000106819, ENSG00000107562, ENSG00000115414, ENSG00000120708, ENSG00000123243, ENSG00000124212, ENSG00000127528, ENSG00000128606, ENSG00000138061, ENSG00000151617, ENSG00000151655, ENSG00000163359, ENSG00000164692, ENSG00000166482, ENSG00000167244, ENSG00000168542, ENSG00000182492, ENSG00000197256, ENSG00000197321"
"M5","M12_Parikshak2013__DATA/modules_allStudies.csv","User",8.83367071572219e-18,45,"ENSG00000006025, ENSG00000064547, ENSG00000072778, ENSG00000073169, ENSG00000077454, ENSG00000095383, ENSG00000100650, ENSG00000102901, ENSG00000104936, ENSG00000105519, ENSG00000112511, ENSG00000114270, ENSG00000126790, ENSG00000127419, ENSG00000140400, ENSG00000140983, ENSG00000144214, ENSG00000162148, ENSG00000162572, ENSG00000167615, ENSG00000168970, ENSG00000169231, ENSG00000179698, ENSG00000183458, ENSG00000185189, ENSG00000185324, ENSG00000196547, ENSG00000198026, ENSG00000198625, ENSG00000204149, ENSG00000204839, ENSG00000212694, ENSG00000213199, ENSG00000214021, ENSG00000215788, ENSG00000223705, ENSG00000223959, ENSG00000225828, ENSG00000234409, ENSG00000240731, ENSG00000242798, ENSG00000243679, ENSG00000244560, ENSG00000258559, ENSG00000259715"
"M4","grey_Tylee__DATA/modules_allStudies.csv","User",9.59327791395195e-17,152,"ENSG00000005243, ENSG00000011465, ENSG00000019549, ENSG00000031081, ENSG00000064989, ENSG00000072682, ENSG00000077943, ENSG00000085741, ENSG00000087303, ENSG00000089199, ENSG00000091136, ENSG00000091986, ENSG00000092758, ENSG00000095713, ENSG00000099810, ENSG00000101489, ENSG00000101825, ENSG00000103485, ENSG00000104213, ENSG00000106080, ENSG00000106483, ENSG00000106809, ENSG00000106819, ENSG00000107562, ENSG00000108684, ENSG00000109472, ENSG00000111799, ENSG00000112655, ENSG00000113658, ENSG00000113721, ENSG00000115461, ENSG00000115884, ENSG00000116132, ENSG00000116525, ENSG00000116962, ENSG00000120332, ENSG00000120658, ENSG00000120693, ENSG00000121039, ENSG00000121440, ENSG00000122592, ENSG00000122691, ENSG00000122870, ENSG00000123901, ENSG00000124749, ENSG00000124785, ENSG00000125378, ENSG00000125844, ENSG00000125845, ENSG00000125968, ENSG00000126767, ENSG00000126785, ENSG00000127528, ENSG00000128606, ENSG00000129009, ENSG00000130203, ENSG00000130635, ENSG00000131831, ENSG00000132854, ENSG00000133110, ENSG00000134013, ENSG00000134533, ENSG00000135063, ENSG00000135111, ENSG00000136240, ENSG00000137809, ENSG00000137868, ENSG00000137962, ENSG00000138080, ENSG00000138735, ENSG00000138829, ENSG00000139329, ENSG00000139926, ENSG00000140937, ENSG00000141756, ENSG00000142149, ENSG00000142173, ENSG00000142303, ENSG00000143369, ENSG00000143867, ENSG00000144057, ENSG00000144668, ENSG00000144824, ENSG00000145920, ENSG00000146122, ENSG00000147257, ENSG00000148848, ENSG00000148935, ENSG00000149257, ENSG00000149633, ENSG00000149948, ENSG00000151572, ENSG00000151655, ENSG00000154645, ENSG00000154856, ENSG00000154864, ENSG00000156076, ENSG00000156395, ENSG00000156735, ENSG00000157227, ENSG00000157240, ENSG00000157502, ENSG00000162733, ENSG00000162878, ENSG00000163359, ENSG00000163430, ENSG00000164692, ENSG00000165124, ENSG00000165424, ENSG00000166025, ENSG00000167601, ENSG00000168646, ENSG00000168938, ENSG00000169071, ENSG00000169105, ENSG00000169174, ENSG00000169439, ENSG00000169855, ENSG00000169946, ENSG00000170624, ENSG00000171451, ENSG00000171956, ENSG00000172986, ENSG00000174807, ENSG00000176142, ENSG00000176204, ENSG00000176490, ENSG00000176971, ENSG00000177374, ENSG00000177951, ENSG00000180447, ENSG00000180730, ENSG00000181195, ENSG00000181458, ENSG00000182158, ENSG00000182492, ENSG00000183098, ENSG00000183287, ENSG00000183798, ENSG00000184867, ENSG00000185483, ENSG00000189129, ENSG00000189184, ENSG00000196569, ENSG00000197256, ENSG00000197467, ENSG00000197712, ENSG00000198682, ENSG00000204262, ENSG00000223749, ENSG00000237172, ENSG00000253304"
"M2","mod1_Gupta__DATA/modules_allStudies.csv","User",2.93337441311633e-16,114,"ENSG00000005249, ENSG00000008277, ENSG00000029534, ENSG00000051382, ENSG00000065609, ENSG00000067715, ENSG00000068615, ENSG00000069712, ENSG00000074211, ENSG00000075303, ENSG00000075945, ENSG00000078053, ENSG00000081026, ENSG00000091157, ENSG00000101349, ENSG00000102144, ENSG00000102678, ENSG00000104154, ENSG00000104435, ENSG00000105143, ENSG00000105220, ENSG00000106537, ENSG00000106688, ENSG00000111490, ENSG00000112293, ENSG00000113161, ENSG00000114948, ENSG00000115840, ENSG00000116750, ENSG00000117598, ENSG00000118402, ENSG00000119946, ENSG00000123684, ENSG00000123983, ENSG00000125675, ENSG00000125814, ENSG00000126950, ENSG00000131437, ENSG00000132639, ENSG00000132975, ENSG00000134709, ENSG00000135002, ENSG00000135750, ENSG00000136928, ENSG00000138078, ENSG00000141837, ENSG00000144285, ENSG00000144406, ENSG00000144583, ENSG00000145864, ENSG00000146151, ENSG00000146267, ENSG00000146950, ENSG00000148660, ENSG00000148798, ENSG00000148948, ENSG00000151150, ENSG00000151229, ENSG00000151948, ENSG00000152495, ENSG00000156475, ENSG00000156486, ENSG00000158008, ENSG00000158301, ENSG00000159164, ENSG00000160326, ENSG00000160753, ENSG00000162929, ENSG00000163032, ENSG00000164211, ENSG00000164742, ENSG00000164951, ENSG00000165704, ENSG00000165973, ENSG00000166111, ENSG00000168546, ENSG00000168824, ENSG00000169282, ENSG00000170396, ENSG00000172915, ENSG00000174469, ENSG00000176884, ENSG00000177181, ENSG00000178662, ENSG00000179542, ENSG00000183023, ENSG00000184349, ENSG00000184408, ENSG00000184524, ENSG00000184992, ENSG00000185742, ENSG00000185813, ENSG00000186106, ENSG00000186310, ENSG00000186462, ENSG00000188191, ENSG00000197535, ENSG00000197959, ENSG00000198648, ENSG00000198689, ENSG00000198932, ENSG00000198961, ENSG00000204442, ENSG00000204789, ENSG00000204856, ENSG00000213760, ENSG00000215196, ENSG00000226711, ENSG00000228794, ENSG00000253230, ENSG00000257151, ENSG00000259168, ENSG00000260006, ENSG00000260230"
"M1","M19_DeRosa35__DATA/modules_allStudies.csv","User",1.37434987906087e-15,36,"ENSG00000054356, ENSG00000076864, ENSG00000101333, ENSG00000104833, ENSG00000110675, ENSG00000110786, ENSG00000124194, ENSG00000125895, ENSG00000128011, ENSG00000130643, ENSG00000131242, ENSG00000135144, ENSG00000135454, ENSG00000138623, ENSG00000145242, ENSG00000148408, ENSG00000153823, ENSG00000154447, ENSG00000155265, ENSG00000156959, ENSG00000157087, ENSG00000158806, ENSG00000160460, ENSG00000161647, ENSG00000166405, ENSG00000168843, ENSG00000171303, ENSG00000174521, ENSG00000183317, ENSG00000185615, ENSG00000186231, ENSG00000186487, ENSG00000198133, ENSG00000204128, ENSG00000221946, ENSG00000242173"
"M1","mod2_Gupta__DATA/modules_allStudies.csv","User",6.09095170747761e-15,115,"ENSG00000004777, ENSG00000005379, ENSG00000008056, ENSG00000008735, ENSG00000010404, ENSG00000018236, ENSG00000040731, ENSG00000054356, ENSG00000067606, ENSG00000069424, ENSG00000072062, ENSG00000073670, ENSG00000073910, ENSG00000076864, ENSG00000089057, ENSG00000099308, ENSG00000099814, ENSG00000100321, ENSG00000100678, ENSG00000101204, ENSG00000101298, ENSG00000103034, ENSG00000103056, ENSG00000105409, ENSG00000106089, ENSG00000106976, ENSG00000107130, ENSG00000109436, ENSG00000110076, ENSG00000110400, ENSG00000110427, ENSG00000112796, ENSG00000116544, ENSG00000116675, ENSG00000116852, ENSG00000117600, ENSG00000119138, ENSG00000123643, ENSG00000124507, ENSG00000125966, ENSG00000127585, ENSG00000128011, ENSG00000128268, ENSG00000128872, ENSG00000129159, ENSG00000129355, ENSG00000130558, ENSG00000131242, ENSG00000132359, ENSG00000132970, ENSG00000134775, ENSG00000135127, ENSG00000135439, ENSG00000135622, ENSG00000135709, ENSG00000137267, ENSG00000139182, ENSG00000140323, ENSG00000145335, ENSG00000145362, ENSG00000146216, ENSG00000148408, ENSG00000149679, ENSG00000149927, ENSG00000150594, ENSG00000151079, ENSG00000153291, ENSG00000153558, ENSG00000153820, ENSG00000154162, ENSG00000154654, ENSG00000154917, ENSG00000155093, ENSG00000156011, ENSG00000156959, ENSG00000157152, ENSG00000158856, ENSG00000161082, ENSG00000161243, ENSG00000161681, ENSG00000162631, ENSG00000162636, ENSG00000162706, ENSG00000163013, ENSG00000163873, ENSG00000164715, ENSG00000165152, ENSG00000166405, ENSG00000166897, ENSG00000167971, ENSG00000169783, ENSG00000171368, ENSG00000171798, ENSG00000171867, ENSG00000173175, ENSG00000173406, ENSG00000174460, ENSG00000175115, ENSG00000180881, ENSG00000181790, ENSG00000184916, ENSG00000185513, ENSG00000186642, ENSG00000186648, ENSG00000187135, ENSG00000196208, ENSG00000197106, ENSG00000197380, ENSG00000198216, ENSG00000198825, ENSG00000198910, ENSG00000203772, ENSG00000232434, ENSG00000242265, ENSG00000251322"
"M7","grey60_Mariani__DATA/modules_allStudies.csv","User",8.62927510995353e-15,16,"ENSG00000004838, ENSG00000010626, ENSG00000101222, ENSG00000114473, ENSG00000118307, ENSG00000137098, ENSG00000138587, ENSG00000141294, ENSG00000152582, ENSG00000165115, ENSG00000169964, ENSG00000175267, ENSG00000185250, ENSG00000205084, ENSG00000205129, ENSG00000215217"
"M4","18_Parikshak2016__DATA/modules_allStudies.csv","User",2.005393907847e-14,23,"ENSG00000011465, ENSG00000106483, ENSG00000108821, ENSG00000115414, ENSG00000120708, ENSG00000134954, ENSG00000135111, ENSG00000137962, ENSG00000138061, ENSG00000138795, ENSG00000142173, ENSG00000151617, ENSG00000161791, ENSG00000163359, ENSG00000163513, ENSG00000164692, ENSG00000167244, ENSG00000168542, ENSG00000178695, ENSG00000182179, ENSG00000189184, ENSG00000197321, ENSG00000198682"
"M1","12_Voineagu__DATA/modules_allStudies.csv","User",2.25982315318822e-14,45,"ENSG00000008735, ENSG00000058404, ENSG00000067057, ENSG00000067842, ENSG00000073150, ENSG00000074317, ENSG00000077080, ENSG00000095203, ENSG00000099849, ENSG00000100604, ENSG00000103723, ENSG00000110171, ENSG00000111674, ENSG00000124194, ENSG00000124772, ENSG00000130822, ENSG00000135423, ENSG00000135709, ENSG00000136828, ENSG00000137218, ENSG00000139190, ENSG00000143845, ENSG00000144711, ENSG00000149679, ENSG00000149927, ENSG00000154917, ENSG00000157445, ENSG00000158555, ENSG00000158806, ENSG00000160460, ENSG00000161544, ENSG00000163704, ENSG00000163995, ENSG00000166862, ENSG00000167964, ENSG00000168993, ENSG00000170214, ENSG00000172350, ENSG00000174938, ENSG00000197106, ENSG00000197444, ENSG00000198794, ENSG00000198934, ENSG00000223572, ENSG00000237289"
"M1","M16_Parikshak2013__DATA/modules_allStudies.csv","User",6.2203541902742e-14,60,"ENSG00000018236, ENSG00000067606, ENSG00000067842, ENSG00000084764, ENSG00000089220, ENSG00000097021, ENSG00000100678, ENSG00000101210, ENSG00000103723, ENSG00000104863, ENSG00000105409, ENSG00000105520, ENSG00000105649, ENSG00000107130, ENSG00000107518, ENSG00000107954, ENSG00000110076, ENSG00000110427, ENSG00000111674, ENSG00000114279, ENSG00000116675, ENSG00000116741, ENSG00000117600, ENSG00000128872, ENSG00000129355, ENSG00000130558, ENSG00000138030, ENSG00000139182, ENSG00000152061, ENSG00000153558, ENSG00000154917, ENSG00000155093, ENSG00000158089, ENSG00000158716, ENSG00000159128, ENSG00000162636, ENSG00000162706, ENSG00000165152, ENSG00000165832, ENSG00000165943, ENSG00000166257, ENSG00000167281, ENSG00000169744, ENSG00000171132, ENSG00000171303, ENSG00000174460, ENSG00000174938, ENSG00000177875, ENSG00000180354, ENSG00000185345, ENSG00000187672, ENSG00000197380, ENSG00000198794, ENSG00000198825, ENSG00000198934, ENSG00000204681, ENSG00000204851, ENSG00000213023, ENSG00000225670, ENSG00000240694"
"M1","grey_Tylee__DATA/modules_allStudies.csv","User",1.96519507733844e-13,251,"ENSG00000004777, ENSG00000006071, ENSG00000008735, ENSG00000011347, ENSG00000019505, ENSG00000040731, ENSG00000049759, ENSG00000058404, ENSG00000061656, ENSG00000065054, ENSG00000067606, ENSG00000067842, ENSG00000069020, ENSG00000069966, ENSG00000073803, ENSG00000074317, ENSG00000075035, ENSG00000075340, ENSG00000076864, ENSG00000077080, ENSG00000082805, ENSG00000088808, ENSG00000089057, ENSG00000099365, ENSG00000099822, ENSG00000100604, ENSG00000101204, ENSG00000101210, ENSG00000101333, ENSG00000102003, ENSG00000103034, ENSG00000103723, ENSG00000104833, ENSG00000104863, ENSG00000105278, ENSG00000105409, ENSG00000105613, ENSG00000105737, ENSG00000106089, ENSG00000106123, ENSG00000106976, ENSG00000107957, ENSG00000108387, ENSG00000110169, ENSG00000110171, ENSG00000110427, ENSG00000110786, ENSG00000111670, ENSG00000111674, ENSG00000112715, ENSG00000113100, ENSG00000113248, ENSG00000113327, ENSG00000113430, ENSG00000113790, ENSG00000116396, ENSG00000116544, ENSG00000116675, ENSG00000116983, ENSG00000119138, ENSG00000119227, ENSG00000119640, ENSG00000121900, ENSG00000122035, ENSG00000122574, ENSG00000123360, ENSG00000124140, ENSG00000124374, ENSG00000124507, ENSG00000124772, ENSG00000125848, ENSG00000125895, ENSG00000125966, ENSG00000126733, ENSG00000127252, ENSG00000127561, ENSG00000128268, ENSG00000129159, ENSG00000129990, ENSG00000130477, ENSG00000130558, ENSG00000130643, ENSG00000130822, ENSG00000131037, ENSG00000131398, ENSG00000132879, ENSG00000134070, ENSG00000134775, ENSG00000135423, ENSG00000135439, ENSG00000135447, ENSG00000135454, ENSG00000135622, ENSG00000136247, ENSG00000137218, ENSG00000137267, ENSG00000137727, ENSG00000138028, ENSG00000138030, ENSG00000139508, ENSG00000139973, ENSG00000140043, ENSG00000140323, ENSG00000140600, ENSG00000141404, ENSG00000141458, ENSG00000141750, ENSG00000142549, ENSG00000143630, ENSG00000143845, ENSG00000144199, ENSG00000145198, ENSG00000145242, ENSG00000145911, ENSG00000146411, ENSG00000148408, ENSG00000149218, ENSG00000149679, ENSG00000150594, ENSG00000151079, ENSG00000151746, ENSG00000152433, ENSG00000152818, ENSG00000152954, ENSG00000152969, ENSG00000153558, ENSG00000153790, ENSG00000153820, ENSG00000153823, ENSG00000154118, ENSG00000154447, ENSG00000154654, ENSG00000154917, ENSG00000155093, ENSG00000155265, ENSG00000156011, ENSG00000156687, ENSG00000156959, ENSG00000157152, ENSG00000157445, ENSG00000157782, ENSG00000157985, ENSG00000158445, ENSG00000161082, ENSG00000161243, ENSG00000161544, ENSG00000161558, ENSG00000161647, ENSG00000161681, ENSG00000162065, ENSG00000162344, ENSG00000162374, ENSG00000162545, ENSG00000163013, ENSG00000163449, ENSG00000163864, ENSG00000163873, ENSG00000163888, ENSG00000165152, ENSG00000165813, ENSG00000165868, ENSG00000166257, ENSG00000166405, ENSG00000166862, ENSG00000166897, ENSG00000167103, ENSG00000167281, ENSG00000167371, ENSG00000167549, ENSG00000167619, ENSG00000167964, ENSG00000167971, ENSG00000167994, ENSG00000168077, ENSG00000168124, ENSG00000168243, ENSG00000168481, ENSG00000168843, ENSG00000168993, ENSG00000169155, ENSG00000169258, ENSG00000169330, ENSG00000169432, ENSG00000169744, ENSG00000169836, ENSG00000171132, ENSG00000171450, ENSG00000171735, ENSG00000172247, ENSG00000172348, ENSG00000172350, ENSG00000172789, ENSG00000173166, ENSG00000173175, ENSG00000173406, ENSG00000174460, ENSG00000174521, ENSG00000175874, ENSG00000177301, ENSG00000177875, ENSG00000178150, ENSG00000178171, ENSG00000178301, ENSG00000178773, ENSG00000179029, ENSG00000179292, ENSG00000179331, ENSG00000180881, ENSG00000181982, ENSG00000182255, ENSG00000183114, ENSG00000184156, ENSG00000184515, ENSG00000184611, ENSG00000184675, ENSG00000184916, ENSG00000185513, ENSG00000185519, ENSG00000185522, ENSG00000185567, ENSG00000186487, ENSG00000186642, ENSG00000187486, ENSG00000188158, ENSG00000188613, ENSG00000189221, ENSG00000189431, ENSG00000196361, ENSG00000196639, ENSG00000196867, ENSG00000196876, ENSG00000197106, ENSG00000197380, ENSG00000197444, ENSG00000197496, ENSG00000197580, ENSG00000197927, ENSG00000198133, ENSG00000198216, ENSG00000198910, ENSG00000198934, ENSG00000203772, ENSG00000204681, ENSG00000212864, ENSG00000213023, ENSG00000221946, ENSG00000240694, ENSG00000242265, ENSG00000246705, ENSG00000248124, ENSG00000251322"
"M1","M13_Parikshak2013__DATA/modules_allStudies.csv","User",5.0081546403297e-13,58,"ENSG00000008056, ENSG00000010404, ENSG00000050748, ENSG00000054356, ENSG00000069424, ENSG00000074317, ENSG00000075035, ENSG00000079819, ENSG00000086300, ENSG00000095203, ENSG00000099308, ENSG00000100321, ENSG00000102003, ENSG00000103034, ENSG00000103154, ENSG00000103811, ENSG00000106976, ENSG00000108176, ENSG00000108387, ENSG00000112796, ENSG00000113100, ENSG00000113327, ENSG00000116661, ENSG00000116983, ENSG00000119138, ENSG00000123360, ENSG00000124140, ENSG00000124507, ENSG00000127585, ENSG00000135423, ENSG00000135447, ENSG00000135631, ENSG00000139190, ENSG00000144711, ENSG00000149575, ENSG00000152954, ENSG00000157152, ENSG00000157782, ENSG00000158856, ENSG00000161544, ENSG00000163013, ENSG00000166448, ENSG00000168481, ENSG00000168993, ENSG00000169213, ENSG00000170214, ENSG00000170271, ENSG00000171450, ENSG00000171867, ENSG00000172348, ENSG00000173267, ENSG00000175874, ENSG00000180155, ENSG00000185432, ENSG00000196972, ENSG00000197106, ENSG00000197444, ENSG00000242173"
"M9","turquoise_Mariani__DATA/modules_allStudies.csv","User",5.86221261394298e-12,79,"ENSG00000011260, ENSG00000020426, ENSG00000041357, ENSG00000053372, ENSG00000055044, ENSG00000064703, ENSG00000065427, ENSG00000070501, ENSG00000075089, ENSG00000083457, ENSG00000089048, ENSG00000092020, ENSG00000096717, ENSG00000100823, ENSG00000101132, ENSG00000104131, ENSG00000106028, ENSG00000111845, ENSG00000112081, ENSG00000113312, ENSG00000114686, ENSG00000115750, ENSG00000115816, ENSG00000115875, ENSG00000116668, ENSG00000117697, ENSG00000119041, ENSG00000125351, ENSG00000130935, ENSG00000135316, ENSG00000135486, ENSG00000135900, ENSG00000136518, ENSG00000136897, ENSG00000137692, ENSG00000137814, ENSG00000137876, ENSG00000138346, ENSG00000139168, ENSG00000139233, ENSG00000139372, ENSG00000140307, ENSG00000141560, ENSG00000143374, ENSG00000146733, ENSG00000147224, ENSG00000152240, ENSG00000152455, ENSG00000153015, ENSG00000153561, ENSG00000154743, ENSG00000156831, ENSG00000158623, ENSG00000160124, ENSG00000160688, ENSG00000162623, ENSG00000163006, ENSG00000163389, ENSG00000163468, ENSG00000164134, ENSG00000164610, ENSG00000164934, ENSG00000166226, ENSG00000167635, ENSG00000169288, ENSG00000171103, ENSG00000171453, ENSG00000173145, ENSG00000176624, ENSG00000178105, ENSG00000181610, ENSG00000183726, ENSG00000183814, ENSG00000197451, ENSG00000198015, ENSG00000198393, ENSG00000198860, ENSG00000234545, ENSG00000239900"
"M2","17_Voineagu__DATA/modules_allStudies.csv","User",1.49094477840139e-11,82,"ENSG00000040341, ENSG00000050426, ENSG00000051382, ENSG00000067715, ENSG00000067798, ENSG00000068366, ENSG00000068615, ENSG00000075945, ENSG00000077279, ENSG00000078053, ENSG00000083720, ENSG00000087258, ENSG00000088538, ENSG00000091157, ENSG00000101856, ENSG00000102144, ENSG00000104435, ENSG00000104765, ENSG00000106537, ENSG00000106688, ENSG00000109832, ENSG00000114948, ENSG00000115252, ENSG00000115290, ENSG00000115840, ENSG00000116750, ENSG00000118276, ENSG00000118733, ENSG00000119185, ENSG00000121871, ENSG00000123983, ENSG00000125675, ENSG00000125814, ENSG00000132639, ENSG00000135002, ENSG00000135045, ENSG00000135750, ENSG00000136854, ENSG00000136928, ENSG00000138078, ENSG00000139970, ENSG00000145545, ENSG00000146151, ENSG00000148660, ENSG00000148798, ENSG00000148948, ENSG00000152578, ENSG00000153233, ENSG00000153814, ENSG00000154027, ENSG00000156475, ENSG00000157064, ENSG00000158301, ENSG00000158560, ENSG00000163053, ENSG00000163630, ENSG00000164742, ENSG00000165434, ENSG00000165704, ENSG00000165973, ENSG00000166111, ENSG00000166206, ENSG00000171033, ENSG00000172209, ENSG00000172915, ENSG00000174469, ENSG00000178235, ENSG00000179542, ENSG00000179915, ENSG00000186106, ENSG00000186310, ENSG00000186469, ENSG00000186868, ENSG00000188191, ENSG00000197535, ENSG00000197959, ENSG00000198648, ENSG00000198673, ENSG00000198689, ENSG00000204130, ENSG00000213760, ENSG00000244005"
